,CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Group
0,1,Male,19,15,39,2
1,2,Male,21,15,81,2
2,3,Female,20,16,6,2
3,4,Female,23,16,77,2
4,5,Female,31,17,40,2
5,6,Female,22,17,76,2
6,7,Female,35,18,6,2
7,8,Female,23,18,94,2
8,9,Male,64,19,3,2
9,10,Female,30,19,72,2
10,11,Male,67,19,14,2
11,12,Female,35,19,99,2
12,13,Female,58,20,15,2
13,14,Female,24,20,77,2
14,15,Male,37,20,13,2
15,16,Male,22,20,79,2
16,17,Female,35,21,35,2
17,18,Male,20,21,66,2
18,19,Male,52,23,29,2
19,20,Female,35,23,98,2
20,21,Male,35,24,35,2
21,22,Male,25,24,73,2
22,23,Female,46,25,5,2
23,24,Male,31,25,73,2
24,25,Female,54,28,14,2
25,26,Male,29,28,82,2
26,27,Female,45,28,32,2
27,28,Male,35,28,61,2
28,29,Female,40,29,31,2
29,30,Female,23,29,87,2
30,31,Male,60,30,4,2
31,32,Female,21,30,73,2
32,33,Male,53,33,4,2
33,34,Male,18,33,92,2
34,35,Female,49,33,14,2
35,36,Female,21,33,81,2
36,37,Female,42,34,17,2
37,38,Female,30,34,73,2
38,39,Female,36,37,26,2
39,40,Female,20,37,75,2
40,41,Female,65,38,35,2
41,42,Male,24,38,92,2
42,43,Male,48,39,36,2
43,44,Female,31,39,61,2
44,45,Female,49,39,28,2
45,46,Female,24,39,65,2
46,47,Female,50,40,55,2
47,48,Female,27,40,47,2
48,49,Female,29,40,42,2
49,50,Female,31,40,42,2
50,51,Female,49,42,52,2
51,52,Male,33,42,60,2
52,53,Female,31,43,54,2
53,54,Male,59,43,60,2
54,55,Female,50,43,45,2
55,56,Male,47,43,41,2
56,57,Female,51,44,50,2
57,58,Male,69,44,46,2
58,59,Female,27,46,51,2
59,60,Male,53,46,46,2
60,61,Male,70,46,56,2
61,62,Male,19,46,55,2
62,63,Female,67,47,52,2
63,64,Female,54,47,59,2
64,65,Male,63,48,51,2
65,66,Male,18,48,59,2
66,67,Female,43,48,50,2
67,68,Female,68,48,48,2
68,69,Male,19,48,59,2
69,70,Female,32,48,47,2
70,71,Male,70,49,55,2
71,72,Female,47,49,42,2
72,73,Female,60,50,49,2
73,74,Female,60,50,56,2
74,75,Male,59,54,47,2
